purchaseID|customerID|orderPrice|purchaseDate
1|1440|52.07|02/01/2019
2|589|166.18|24/03/2018
3|123|144.31|02/07/2018
4|2908|57.26|01/09/2019
5|2649|50.01|17/12/2018
6|1052|81.65|10/03/2018
7|2972|2.32|07/08/2019
8|2904|74.31|23/01/2019
9|1973|197.26|18/04/2019
10|1220|53.44|11/05/2018
11|2152|43.59|24/11/2017
12|847|21.74|04/09/2018
13|121|141.54|23/02/2019
14|1130|98.98|06/09/2018
15|2953|57.05|14/07/2018
16|2150|175.80|20/07/2018
17|1019|12.72|27/01/2019
18|2940|88.80|04/07/2018
19|1354|114.62|10/03/2018
20|2576|55.33|31/12/2018
21|98|190.82|27/10/2019
22|1799|135.12|11/11/2019
23|110|142.61|02/10/2019
24|1542|199.09|04/02/2018
25|2959|162.96|23/04/2018
26|1704|50.96|14/01/2018
27|695|135.57|05/08/2018
28|2613|24.25|20/10/2019
29|1417|45.91|23/04/2018
30|2866|23.15|11/05/2019
31|515|186.14|15/07/2019
32|485|68.44|23/06/2018
33|111|132.55|23/05/2018
34|2788|41.43|08/06/2018
35|86|152.98|09/05/2018
36|578|146.07|06/07/2019
37|1519|187.21|22/09/2018
38|2992|170.22|24/11/2017
39|1476|94.64|09/07/2019
40|401|42.66|06/08/2019
41|245|114.28|29/09/2018
42|2495|75.12|14/09/2018
43|2818|100.60|17/04/2018
44|2424|179.95|03/09/2019
45|1805|17.39|07/06/2018
46|2577|148.66|06/08/2019
47|1660|78.76|06/05/2018
48|2523|72.76|23/12/2017
49|2520|10.41|20/10/2019
50|2506|98.26|02/10/2019
51|846|63.42|21/10/2018
52|345|85.06|04/08/2018
53|1486|151.74|08/04/2018
54|2675|68.09|23/02/2019
55|2069|30.16|16/10/2019
56|2839|187.90|05/01/2018
57|553|67.13|03/05/2019
58|2216|147.38|10/11/2018
59|794|185.24|22/04/2019
60|1221|81.35|02/11/2018
61|482|43.17|21/12/2017
62|1435|98.97|19/08/2018
63|1176|116.72|01/10/2018
64|2079|56.35|24/09/2018
65|2255|88.73|01/02/2019
66|2479|119.77|30/01/2018
67|1365|127.37|30/10/2019
68|1243|87.51|31/07/2019
69|50|55.56|16/07/2019
70|2640|148.35|05/02/2019
71|1475|66.16|29/08/2018
72|287|153.40|22/06/2019
73|148|83.86|06/09/2019
74|1510|2.82|25/03/2018
75|1401|64.74|15/10/2018
76|2651|14.51|27/10/2019
77|1147|130.68|18/03/2019
78|2596|28.96|26/08/2019
79|2618|88.48|02/08/2019
80|213|47.87|10/05/2019
81|877|120.75|04/09/2018
82|2722|114.16|29/09/2018
83|982|149.23|14/02/2019
84|431|45.80|08/01/2019
85|1033|181.48|03/12/2018
86|2031|62.14|21/03/2019
87|1523|35.72|09/12/2017
88|2355|121.52|07/08/2019
89|2902|37.29|27/07/2019
90|1863|37.41|20/04/2019
91|2740|186.46|06/11/2019
92|2817|159.94|11/08/2018
93|2227|26.27|19/07/2018
94|1937|26.92|16/05/2019
95|1624|129.25|07/07/2018
96|923|124.86|24/04/2019
97|1198|145.56|14/11/2018
98|469|92.17|31/07/2018
99|165|51.56|07/02/2019
100|513|39.32|30/01/2019
101|2115|131.83|08/03/2018
102|2010|85.05|02/09/2019
103|1888|184.41|29/01/2019
104|2598|104.66|02/05/2019
105|1319|107.34|27/01/2018
106|2546|168.69|31/08/2018
107|2821|87.79|03/06/2018
108|2573|155.02|19/03/2018
109|2998|37.07|29/07/2019
110|383|193.82|20/12/2018
111|375|157.04|05/02/2019
112|1092|45.18|18/08/2019
113|2478|85.75|18/12/2018
114|315|16.16|15/04/2018
115|2185|120.96|02/08/2018
116|1167|26.45|07/07/2018
117|1558|131.10|25/03/2019
118|2561|36.43|20/08/2018
119|2533|30.59|27/04/2019
120|1248|195.17|26/12/2017
121|1205|161.54|10/09/2018
122|2169|45.61|06/09/2018
123|270|58.92|17/11/2018
124|661|4.52|03/01/2018
125|308|179.57|27/05/2019
126|1172|160.35|06/04/2019
127|324|85.50|14/09/2019
128|2809|16.52|27/07/2018
129|1160|181.97|12/12/2018
130|2679|120.85|06/11/2019
131|1013|44.88|14/06/2018
132|1512|149.16|27/06/2018
133|1949|151.26|01/10/2018
134|2044|29.58|27/08/2018
135|523|118.52|23/11/2018
136|2931|167.90|22/07/2018
137|303|154.35|03/07/2019
138|2525|53.24|17/02/2019
139|846|145.02|07/12/2018
140|2271|64.11|24/01/2018
141|1667|6.27|16/08/2018
142|537|8.96|03/05/2018
143|1909|112.15|28/06/2019
144|1924|122.54|08/04/2019
145|393|46.21|27/06/2019
146|2440|121.76|29/10/2018
147|2260|79.54|03/01/2018
148|2298|108.34|23/04/2018
149|1778|118.78|14/09/2018
150|2783|135.46|01/03/2018
151|405|157.78|02/12/2017
152|2224|186.23|05/10/2018
153|681|91.77|28/11/2017
154|2042|92.14|08/12/2017
155|634|188.49|08/06/2018
156|2637|5.44|26/10/2019
157|2210|89.50|03/05/2018
158|1632|177.90|20/03/2019
159|967|150.36|17/09/2018
160|2205|3.96|18/12/2018
161|533|123.16|15/11/2018
162|8|60.83|12/02/2019
163|2901|90.67|24/06/2018
164|1302|187.39|24/03/2019
165|137|152.07|26/03/2018
166|112|22.90|30/03/2019
167|2114|155.89|11/09/2019
168|1791|119.07|01/05/2018
169|2674|36.67|21/10/2019
170|830|19.18|30/05/2018
171|1478|126.62|28/01/2019
172|2424|43.93|18/08/2019
173|1841|47.28|30/04/2018
174|694|38.21|26/08/2019
175|98|54.58|10/02/2019
176|1028|118.25|16/02/2019
177|2487|125.66|20/10/2018
178|1135|176.76|17/10/2018
179|2614|57.75|03/03/2018
180|708|140.01|22/06/2018
181|572|103.75|21/04/2018
182|1463|22.63|19/04/2018
183|2023|56.47|16/02/2019
184|2634|196.57|07/10/2019
185|637|87.99|29/06/2018
186|2306|111.03|24/04/2018
187|1533|166.24|07/10/2018
188|805|165.95|03/07/2018
189|667|26.76|09/05/2018
190|2366|194.27|15/09/2018
191|2536|78.73|08/02/2019
192|2997|156.65|09/04/2018
193|949|101.10|01/08/2018
194|1148|42.97|11/07/2018
195|2074|92.28|11/02/2019
196|1307|74.17|28/02/2019
197|1530|57.79|07/04/2018
198|2604|113.43|17/08/2018
199|1661|192.59|02/10/2018
200|1523|77.07|26/08/2019
201|2792|24.59|14/02/2018
202|1333|125.86|17/09/2018
203|115|195.52|23/09/2018
204|1426|160.23|06/11/2018
205|2618|138.25|28/09/2019
206|1605|100.02|23/05/2019
207|453|15.38|24/06/2018
208|1303|160.79|05/06/2019
209|374|34.80|01/06/2018
210|2124|193.98|15/07/2018
211|1085|185.02|29/09/2019
212|2438|44.25|09/08/2019
213|2245|66.62|24/08/2019
214|1031|142.07|22/06/2018
215|1944|72.39|11/12/2017
216|2512|193.64|11/07/2019
217|2371|193.70|28/12/2017
218|2934|187.23|02/08/2018
219|1333|37.05|28/02/2019
220|3004|63.23|29/08/2019
221|2913|126.10|28/09/2019
222|801|127.07|04/02/2018
223|601|86.72|18/01/2019
224|118|185.36|16/05/2018
225|1855|142.67|06/12/2018
226|2822|56.39|19/02/2018
227|1145|114.75|31/12/2017
228|2468|45.33|23/07/2019
229|1104|92.81|23/12/2018
230|2567|190.80|17/12/2018
231|934|24.96|08/11/2018
232|29|170.41|28/04/2018
233|12|65.99|27/05/2019
234|1833|97.79|23/01/2018
235|594|39.99|21/12/2017
236|936|7.97|25/02/2019
237|210|116.82|17/07/2019
238|2774|44.51|08/01/2019
239|174|101.41|13/02/2018
240|1859|57.74|18/01/2018
241|1146|10.09|24/02/2019
242|1653|30.63|16/02/2018
243|955|55.11|03/04/2018
244|1465|17.88|19/06/2019
245|2875|106.12|04/08/2018
