reviewId|productId|customerId|review|reviewComment|date
3|19|1217|10| |09/06/2018
4|35|2667|5| |25/09/2018
5|37|2452|5| Customer service was fabulous|20/03/2019
6|38|442|3| |21/01/2018
7|24|1396|3| |15/12/2017
8|28|1602|10| |06/04/2018
9|29|604|7| |27/08/2018
10|11|2765|4| |08/10/2019
11|14|1227|2| |03/12/2017
12|35|1404|9| |02/06/2019
13|31|1567|7| |20/01/2018
14|1|1566|1| |05/01/2018
15|13|2126|8| |30/05/2018
16|22|446|3| |04/02/2019
17|14|2100|8||24/09/2018
18|20|356|3| |06/04/2019
19|17|105|2| |13/03/2018
20|1|1452|1| |07/09/2019
21|8|2937|2| |02/05/2019
22|21|735|6| |18/11/2018
23|3|1221|7| |13/09/2019
24|15|2097|1| |12/12/2017
25|36|319|8| Customer service was fabulous|04/01/2019
26|41|251|6| I want to open my own bakery|10/06/2019
27|40|683|4| |11/12/2018
28|34|203|1| |22/04/2019
29|45|543|9| |20/02/2018
30|31|1755|6| Customer service was fabulous|15/11/2019
31|7|1468|6| |26/07/2018
32|33|1781|3| |21/07/2019
33|10|2784|9| thumbs up or down|21/12/2017
34|15|2711|3| |29/11/2017
35|3|707|3| |26/12/2018
36|16|1387|1||14/11/2019
37|40|1331|8| They need honey as an add-on to be better!|03/12/2018
38|38|357|7| |10/11/2018
39|35|223|9| I want to open my own bakery|22/03/2019
40|35|3004|1| |03/07/2019
41|31|2511|9| |27/02/2019
42|43|1005|8| Super fun|15/06/2019
43|45|2363|6| |07/04/2018
44|20|98|7| |07/10/2019
45|14|1656|5| I want to open my own bakery|01/11/2019
46|11|2941|10| |22/01/2018
47|9|476|9| this makes me want to...|07/01/2018
48|15|921|4| |12/04/2018
49|6|87|3| Smelled great in the store!|10/01/2018
50|12|825|7| |26/01/2019
51|27|1492|6| Cheescake is the best!|24/07/2018
52|20|498|5| |01/02/2018
53|26|864|9| |05/10/2018
54|38|246|3| A little too sweet for me!|17/08/2018
55|45|2431|8| |18/01/2018
56|26|1724|10| |29/01/2018
57|4|1709|10| |21/11/2017
58|50|1624|1| |18/06/2018
59|45|798|2| |29/11/2017
60|20|1014|7| |30/12/2018
61|45|981|3| They need honey as an add-on to be better!|13/06/2019
62|9|239|5| |26/07/2019
63|44|2027|8| |04/02/2019
64|49|13|10| |07/11/2018
65|41|1811|4| |17/06/2019
66|28|126|4| Wasn't too bad|11/12/2018
67|46|2156|3| A little too sweet for me!|02/07/2019
68|43|2802|7| Wasn't too bad|12/12/2018
69|9|1369|4| |16/10/2018
70|38|1970|2| |26/11/2017
71|48|208|10| |02/04/2019
72|38|1459|3| |20/07/2019
73|1|1150|4| |07/10/2019
74|24|1861|8| |17/11/2018
75|20|685|3| Super fun|08/07/2018
76|11|2879|9| |24/12/2017
77|3|2223|1| |12/08/2019
78|22|2355|3| |17/07/2019
79|34|2367|6| |14/07/2018
80|50|139|10| |30/01/2019
81|47|1672|6| They need honey as an add-on to be better!|24/10/2019
82|47|449|10| They need honey as an add-on to be better!|26/04/2018
83|41|1361|3| |11/07/2019
