productID|purchaseID|quantity
14|1766|4
44|4633|1
38|2108|6
38|4870|8
10|3314|8
39|1058|3
37|1401|3
48|3265|1
50|7|9
8|606|3
26|2898|5
20|4025|10
22|398|6
3|2715|10
35|887|5
24|4410|7
18|2309|8
40|2304|10
20|2065|3
11|2942|9
3|4925|4
31|3415|3
37|319|10
40|3432|3
39|4425|2
39|2667|8
31|1920|4
10|520|6
47|2133|6
6|3284|4
44|3571|9
13|4404|10
12|2637|5
6|818|10
12|1229|9
35|3255|5
9|612|6
38|2814|2
6|262|6
17|840|4
50|1036|9
33|3268|8
43|2100|9
35|4922|7
30|1792|8
22|2433|10
26|2515|9
29|3277|7
43|2158|10
21|189|5
7|4432|1
15|1509|6
28|2171|9
25|343|9
6|4862|9
39|635|4
16|2173|6
16|1267|10
5|3174|5
26|1081|1
6|972|4
8|4024|5
41|542|4
1|2627|3
39|4576|1
29|433|4
48|1939|4
49|2249|4
3|3502|3
35|3677|10
1|1577|2
16|3976|6
29|4848|10
40|2945|5
14|217|2
28|4237|1
14|3144|10
40|4449|10
38|4681|8
21|3291|7
24|591|3
25|2807|3
24|93|10
20|485|3
3|1550|5
25|2780|2
42|1832|5
4|792|10
18|4827|7
22|4247|4
33|2778|2
39|2049|6
47|1120|3
30|3848|10
42|2540|4
11|4805|3
31|111|3
50|1190|3
9|2819|3
43|4094|10
25|2365|9
34|3874|4
33|4383|4
19|1895|10
8|4633|8
26|3068|8
9|1|4
36|659|4
7|1255|10
1|3218|7
50|3467|5
29|3680|9
17|2250|7
19|1065|4
33|525|7
7|4314|9
15|4661|9
22|672|1
41|1261|5
9|353|10
36|3912|2
7|2197|7
45|1658|9
21|4290|9
5|2649|9
22|129|6
3|3862|1
33|1339|9
25|3848|6
9|2706|6
14|4901|8
48|4863|8
19|719|9
34|3638|4
35|2491|4
44|2008|2
45|4055|9
19|4794|4
5|1842|7
13|2799|1
40|4454|7
26|361|4
27|1674|8
19|2561|6
12|1936|6
29|1751|10
39|4445|5
41|4827|6
43|3172|1
43|1572|9
28|2596|1
31|4609|8
50|1517|2
48|3709|10
3|794|4
12|1718|7
50|4508|9
3|3465|3
6|1923|9
35|4633|9
4|3775|2
38|1216|2
49|2546|5
22|4994|1
46|3642|3
27|2673|2
42|873|2
33|3028|3
1|4708|1
21|2589|4
1|3654|6
35|188|6
8|504|4
8|2470|1
20|4877|4
3|1484|3
44|876|9
28|2309|9
12|2980|7
33|2677|2
31|3608|1
40|2088|6
21|1696|6
30|3554|7
13|1993|7
47|1611|7
20|731|9
8|2709|2
16|3521|2
21|1698|9
24|1330|3
45|4697|3
18|4378|10
12|3973|3
5|1003|8
12|196|6
33|2820|4
25|3136|5
46|2302|1
45|4141|9
45|880|1
2|937|10
38|3445|5
40|4515|4
42|1914|5
34|1075|2
31|1445|10
11|393|4
37|1276|5
32|4823|6
12|2654|9
25|2909|1
46|4547|8
10|1175|8
35|1914|2
37|3641|3
42|2871|6
25|682|5
30|2385|7
12|2031|10
28|4605|1
17|20|5
1|4569|3
29|1569|2
6|2389|3
39|3733|5
46|623|8
38|2890|8
26|3011|4
14|4601|1
13|3623|4
8|1169|8
5|743|6
3|4809|9
39|1246|8
50|120|8
33|1264|5
6|4485|9
29|2461|8
15|747|5
34|3701|10
48|1160|10
43|4250|4
14|209|8
7|1548|4
13|2775|2
14|362|1
2|2736|9
28|1230|9
41|2767|9
30|2789|10
50|42|6
49|1291|10
29|3650|1
42|2562|1
44|1403|8
38|4488|5
26|984|5
44|1505|9
18|1992|7
41|3225|3
5|4625|4
4|1992|5
19|4881|3
34|551|8
33|2953|5
4|1671|4
46|719|6
10|3672|4
38|1368|10
40|4637|2
33|2808|10
44|4707|6
5|796|1
20|2454|7
18|2087|4
40|179|1
46|2309|9
37|1647|8
47|1660|5
50|1038|6
50|821|3
11|4292|2
38|524|6
27|4473|6
36|1622|1
42|2928|9
30|1596|8
20|419|3
12|670|1
6|3419|9
19|4815|5
2|2835|1
22|3038|7
11|2553|9
42|3147|3
9|4337|1
49|1159|5
24|4265|8
27|2928|10
19|2408|8
24|3409|5
36|3553|1
44|1527|2
16|3485|2
47|4939|8
47|996|9
47|3470|1
35|54|10
8|1448|6
18|1467|8
12|3585|7
27|4388|10
20|4220|4
13|2840|3
23|2038|10
43|2080|9
36|64|6
13|656|5
36|2000|5
33|3175|1
37|2701|8
37|3636|2
11|3457|9
13|812|1
38|3172|9
26|2980|7
26|2478|9
22|4493|9
5|4777|5
9|2223|1
39|753|2
14|1993|5
50|3973|3
31|2942|6
11|1133|10
19|346|8
47|353|7
32|332|4
6|752|10
6|776|9
41|952|10
18|1392|5
34|1401|1
25|1042|3
6|1295|4
11|2256|10
24|2163|9
36|2753|9
3|3457|3
46|696|2
2|1331|2
20|4801|4
23|1346|2
17|3249|7
6|3762|2
34|4298|1
7|534|6
30|2141|6
7|33|6
9|940|8
40|2645|1
25|3086|3
9|3872|1
11|1789|10
38|2721|3
39|42|8
3|4515|6
21|1935|10
1|1415|2
48|2873|10
12|4482|7
12|2099|2
45|3434|2
5|4038|7
45|4355|7
2|1218|5
23|691|8
22|488|9
40|4720|2
26|1026|8
12|4458|6
44|4837|6
30|4898|3
2|1144|2
41|4659|5
24|2954|7
47|3164|5
40|1053|10
19|4614|10
42|4579|10
21|2895|10
35|1101|4
45|2653|5
8|2336|3
50|1479|2
11|2713|10
11|3230|8
15|213|3
12|1197|6
10|2697|3
4|4895|8
17|322|10
29|4694|2
50|1496|6
26|3899|5
3|4157|4
28|1358|7
16|764|7
3|1669|9
10|182|3
7|1509|3
35|3425|9
20|1011|10
48|2775|4
6|3269|4
50|307|1
12|3204|4
13|4674|2
36|4734|1
9|4223|8
47|2941|7
9|101|7
11|4772|5
50|423|8
6|1762|4
28|714|4
26|3822|10
21|818|6
12|1732|7
5|4152|5
3|4385|3
11|3250|1
42|1707|6
15|4928|10
40|2583|3
8|2973|1
47|681|2
8|2158|8
15|129|5
15|4180|6
22|2992|8
4|4810|4
28|4801|9
49|1390|6
12|2742|2
45|3237|9
30|4000|5
50|1139|9
42|4022|6
12|4022|10
17|3181|7
38|4571|10
5|922|10
19|72|3
35|2198|4
20|4459|6
15|2385|3
33|2999|6
2|2481|9
32|148|7
36|2828|9
3|1646|1
1|3905|7
23|4950|3
25|4671|4
48|8|8
8|3799|3
22|1811|7
45|4355|2
35|3156|5
41|4398|7
15|401|10
13|1783|4
49|1109|2
8|3601|10
1|3624|1
40|3019|2
42|2910|1
29|1016|3
45|1770|2
4|374|8
28|3126|7
42|2210|6
36|2203|2
23|40|2
44|2126|4
38|592|4
8|3600|4
40|2427|9
28|2851|9
29|2875|6
15|2147|10
29|4853|5
28|4061|1
13|4383|10
36|2679|8
20|3408|4
30|1132|5
11|2715|9
18|1376|3
33|4420|4
33|1854|7
32|4017|9
45|704|1
30|3936|8
7|507|3
6|2908|7
7|4519|6
35|1406|4
47|1994|4
26|3995|1
42|2500|1
35|3278|7
5|1933|9
18|3912|3
39|2729|9
42|2280|10
24|953|1
35|3519|9
6|488|10
49|1221|8
2|2631|5
32|4092|2
19|2864|8
31|61|10
30|1869|4
46|2817|7
10|421|2
37|4658|7
40|4096|2
28|2701|10
17|509|1
16|449|4
37|1298|6
1|953|9
22|2184|7
5|4338|2
37|4042|10
31|1017|7
46|2793|4
12|3296|9
18|567|2
32|2828|6
47|4832|4
46|3273|4
47|3563|3
34|1139|10
42|2501|5
31|2073|7
12|2118|9
5|563|2
46|4750|5
8|2506|3
4|2505|5
24|1781|4
46|2053|8
4|4508|3
35|3654|7
8|1248|3
6|4995|3
41|1145|2
9|3205|8
20|251|2
16|2631|10
23|3610|5
15|3363|4
39|281|9
41|3376|1
33|3894|1
30|1822|10
8|1280|7
10|4198|1
24|4508|1
26|2578|10
32|2900|9
35|3922|7
2|2341|2
7|2239|3
26|4537|5
39|3670|5
39|3267|9
25|1244|1
6|3804|4
44|1051|9
37|3921|8
36|3650|9
28|1691|8
21|2163|3
40|4868|6
9|3721|5
1|1435|8
23|3698|9
20|7|8
1|2547|10
14|4519|10
28|587|10
5|4032|4
34|1050|8
15|4825|2
30|3420|10
16|4937|6
35|2512|1
28|2354|2
12|81|8
29|1160|5
31|752|9
11|1676|8
32|3326|1
43|2172|3
13|2624|3
42|916|5
14|4478|4
39|700|2
2|2421|8
46|1242|7
12|4268|10
1|3915|10
40|1689|6
39|3856|9
22|535|7
7|4463|7
38|419|7
19|2133|9
36|984|4
29|4353|1
48|1173|6
42|105|2
36|36|8
22|2789|10
48|2308|9
28|4209|6
43|3103|2
18|2191|10
27|1594|4
39|2236|8
45|3863|7
10|3911|8
30|2096|5
6|545|5
45|1351|9
25|4174|9
35|487|9
7|4422|5
26|1499|2
3|2793|8
31|1223|3
5|3031|1
48|4244|5
24|3099|6
32|146|3
32|1068|4
2|804|2
2|4614|8
46|3637|3
37|1455|2
35|3977|7
39|4628|3
6|1762|3
34|2678|4
7|4823|5
6|283|4
13|110|10
49|4209|6
46|891|5
19|768|1
13|1927|8
26|3279|7
42|4584|5
3|3027|9
39|230|5
35|3896|8
50|3186|5
41|4174|1
34|4500|4
10|3917|5
5|1563|2
40|2200|5
44|1043|9
44|4319|6
41|2529|5
22|3114|10
21|2713|2
33|2317|6
19|3541|10
34|807|3
12|2504|5
22|3921|1
9|845|4
26|1751|8
12|2182|2
44|3781|7
39|1707|1
9|791|3
24|4444|3
15|4795|9
8|1294|5
23|2510|8
26|3060|2
2|3907|9
29|3599|4
40|2880|9
24|4461|5
12|4656|7
9|2246|6
43|44|3
29|1568|1
41|3862|3
22|446|3
8|4465|8
